"iso3","pais","pbi_per_capita","esperanza_de_vida_al_nacer","anios_de_educacion"
"RWA","Rwanda",1929.28511410568,66.2505,4.334969997
"SAU","Arabia Saudita",50304.7501737095,77.2115,10.58370972
"SDN","Sudán",3379.59565049915,65.681,3.77
"SEN","Senegal",2617.12439419464,68.0966,2.883815558
"SGP","Singapur",68402.3450550757,83.4576,11.74279022
"SLE","Sierra Leona",1683.84968316688,59.7959,4.455658093
"SLV","El Salvador",8598.1982220438,72.5546,6.968569994
"SRB","Serbia",14124.1176604928,76.5115,11.26613522
"SUN","Unión Soviética",19539.1473998757,,
"SVK","Eslovaquia",27075.5343521796,77.264,12.86622047
"SWE","Suecia",45541.8921169549,82.5326,12.54788494
"SYR","Siria",3349.45968179007,70.145,5.1
"TCD","Chad",2046.36311913984,52.8253,2.479598405
"TGO","Togo",1451.36089326227,60.244,4.890200241
"THA","Tailandia",16648.6237052607,78.6622,8.372150421
"TJK","Tayikistán",4440.38187099113,70.3532,11.37723672
"TKM","Turkmenistán",26318.3659841272,68.7963,11.22710846
"TUN","Túnez",11353.886487843,75.9501,7.352466164
"TUR","Turquía",19270.2201638349,77.5631,8.450664997
"TWN","Taiwán",44663.8642220223,,
"TZA","Tanzania",2874.9629160611,66.5346,6.231957903
"UGA","Uganda",2045.42032693985,62.7139,5.675231566
"UKR","Ucrania",9813.36371296849,74.4122,11.13953963
"URY","Uruguay",20185.8359594471,77.611,8.906729698
"USA","Estados Unidos",55334.7394280165,78.9896,13.50162029
"UZB","Uzbekistán",11220.3702440574,71.1494,11.77458954
"VEN","Venezuela",10709.9506297746,71.9788,10.8356987
"VNM","Vietnam",6814.14232201467,73.9757,8.287745237
"YEM","Yemen",2284.88989284271,64.5751,3.2
"YUG","Yugoslavia",16558.3122646166,,
"ZAF","Sudáfrica",12165.7947912958,65.6743,10.7576704
"ZMB","Zambia",3534.03369746655,62.3422,7.058784771
"ZWE","Zimbabwe",1611.40520247635,61.4141,8.585394977
