"anio","pais","iso3","pbi_per_capita_ppa_porcentaje_argentina"
1948,"Australia","AUS",132.64452938366
1949,"Australia","AUS",143.393412057178
1950,"Australia","AUS",148.635048433765
1951,"Australia","AUS",147.984170170665
1952,"Australia","AUS",157.254954116239
1953,"Australia","AUS",153.983781696486
1954,"Australia","AUS",156.449987402368
1955,"Australia","AUS",153.270244369909
1956,"Australia","AUS",153.418803418803
1957,"Australia","AUS",148.133256748995
1958,"Australia","AUS",145.744797974238
1959,"Australia","AUS",164.627723246349
1960,"Australia","AUS",158.14242184855
1961,"Australia","AUS",147.613441780822
1962,"Australia","AUS",159.012045529893
1963,"Australia","AUS",172.317423806786
1964,"Australia","AUS",166.197332204108
1965,"Australia","AUS",159.350073855244
1966,"Australia","AUS",162.008733624454
1967,"Australia","AUS",167.725490196078
1968,"Australia","AUS",169.480209823557
1969,"Australia","AUS",164.286351074262
1970,"Australia","AUS",164.670504338861
1971,"Australia","AUS",163.209197700575
1972,"Australia","AUS",162.465078060805
1973,"Australia","AUS",161.744543377196
1974,"Australia","AUS",155.81150255947
1975,"Australia","AUS",162.158195581647
1976,"Australia","AUS",170.234719596723
1977,"Australia","AUS",163.130855243276
1978,"Australia","AUS",176.374156219865
1979,"Australia","AUS",174.058258349855
1980,"Australia","AUS",175.626911314985
1981,"Australia","AUS",192.725773195876
1982,"Australia","AUS",198.891774891775
1983,"Australia","AUS",192.755838641189
1984,"Australia","AUS",202.830108980316
1985,"Australia","AUS",228.793024323084
1986,"Australia","AUS",218.115501519757
1987,"Australia","AUS",223.252815266913
1988,"Australia","AUS",237.477765919602
1989,"Australia","AUS",263.706340806312
1990,"Australia","AUS",266.949483128535
1991,"Australia","AUS",239.32031118287
1992,"Australia","AUS",224.66773037266
1993,"Australia","AUS",221.419744799329
1994,"Australia","AUS",219.905216531065
1995,"Australia","AUS",234.525270913538
1996,"Australia","AUS",231.425044346407
1997,"Australia","AUS",223.179949544593
1998,"Australia","AUS",226.111107875798
1999,"Australia","AUS",243.870411184159
2000,"Australia","AUS",254.737218074987
2001,"Australia","AUS",273.044558748304
2002,"Australia","AUS",318.873830914989
2003,"Australia","AUS",301.970881947217
2004,"Australia","AUS",288.282283748656
2005,"Australia","AUS",273.097085128927
2006,"Australia","AUS",258.64015196326
2007,"Australia","AUS",246.108445296508
2008,"Australia","AUS",239.853731722004
2009,"Australia","AUS",257.871798206091
2010,"Australia","AUS",239.200438594711
2011,"Australia","AUS",230.625406189072
2012,"Australia","AUS",239.80305117608
2013,"Australia","AUS",237.75977456851
2014,"Australia","AUS",249.528228118647
2015,"Australia","AUS",247.959183673469
2016,"Australia","AUS",258.781456953642
2017,"Australia","AUS",256.579628192698
2018,"Australia","AUS",268.537241372233
2019,"Australia","AUS",278.008092665435
2020,"Australia","AUS",304.623116473619
2021,"Australia","AUS",290.754950730762
2022,"Australia","AUS",284.637771354039
1900,"Austria","AUT",100.240017455815
1901,"Austria","AUT",99.4336745807014
1902,"Austria","AUT",108.381436157931
1903,"Austria","AUT",98.3015307192284
1904,"Austria","AUT",92.6464805348014
1905,"Austria","AUT",88.8187556357078
1906,"Austria","AUT",90.2639087018545
1907,"Austria","AUT",96.499818643453
1908,"Austria","AUT",90.7874420998456
1909,"Austria","AUT",88.5685210312076
1910,"Austria","AUT",86.0801050558109
1911,"Austria","AUT",89.8341986266957
1912,"Austria","AUT",89.779848947453
1913,"Austria","AUT",91.2590879048249
1914,"Austria","AUT",87.0986129583888
1915,"Austria","AUT",81.7830206923226
1916,"Austria","AUT",85.0213111426832
1917,"Austria","AUT",92.6917022711941
1918,"Austria","AUT",78.6749082480201
1919,"Austria","AUT",68.3172073610321
1920,"Austria","AUT",69.4544797687861
1921,"Austria","AUT",76.3419483101392
1922,"Austria","AUT",79.1235334713596
1923,"Austria","AUT",72.9116368903911
1924,"Austria","AUT",78.0012376237624
1925,"Austria","AUT",85.9132383544101
1926,"Austria","AUT",85.4539742381401
1927,"Austria","AUT",84.3320754716981
1928,"Austria","AUT",85.219298245614
1929,"Austria","AUT",84.7004740698176
1930,"Austria","AUT",87.8978932800246
1931,"Austria","AUT",88.5752915328714
1932,"Austria","AUT",83.4698966868543
1933,"Austria","AUT",78.2397782397782
1934,"Austria","AUT",74.1719693261544
1935,"Austria","AUT",73.6022871664549
1936,"Austria","AUT",76.5554842847979
1937,"Austria","AUT",76.5171102661597
1938,"Austria","AUT",87.3979356031428
1939,"Austria","AUT",98.7447065940714
1940,"Austria","AUT",95.1454846977235
1941,"Austria","AUT",97.9740562600204
1942,"Austria","AUT",92.9711524381315
1943,"Austria","AUT",97.2097209720972
1944,"Austria","AUT",90.6699547883272
1945,"Austria","AUT",39.6082385136108
1946,"Austria","AUT",41.9311457772996
1947,"Austria","AUT",42.5665680473373
1948,"Austria","AUT",52.6278069756331
1949,"Austria","AUT",65.2454940957116
1950,"Austria","AUT",74.3112341174991
1951,"Austria","AUT",78.0484788523374
1952,"Austria","AUT",84.0936294720043
1953,"Austria","AUT",84.8757883897541
1954,"Austria","AUT",91.4714033761653
1955,"Austria","AUT",96.4781983708673
1956,"Austria","AUT",102.124881291548
1957,"Austria","AUT",104.663986214819
1958,"Austria","AUT",103.666189584939
1959,"Austria","AUT",115.453674886282
1960,"Austria","AUT",117.266674190272
1961,"Austria","AUT",116.459760273973
1962,"Austria","AUT",122.422367112388
1963,"Austria","AUT",131.730879815986
1964,"Austria","AUT",127.694262121533
1965,"Austria","AUT",121.398325947809
1966,"Austria","AUT",128.324732036522
1967,"Austria","AUT",129.656862745098
1968,"Austria","AUT",131.06342393896
1969,"Austria","AUT",129.758402424891
1970,"Austria","AUT",133.490849729358
1971,"Austria","AUT",135.457802216113
1972,"Austria","AUT",141.076417419885
1973,"Austria","AUT",141.107871720117
1974,"Austria","AUT",139.890093345378
1975,"Austria","AUT",143.39564344199
1976,"Austria","AUT",153.182104599874
1977,"Austria","AUT",153.747355696585
1978,"Austria","AUT",163.074574091932
1979,"Austria","AUT",163.458898886686
1980,"Austria","AUT",167.675840978593
1981,"Austria","AUT",180.338144329897
1982,"Austria","AUT",192.675324675325
1983,"Austria","AUT",194.853503184713
1984,"Austria","AUT",194.441159077469
1985,"Austria","AUT",215.823772372648
1986,"Austria","AUT",208.762483716891
1987,"Austria","AUT",209.825496432563
1988,"Austria","AUT",223.336890786197
1989,"Austria","AUT",250.918887712884
1990,"Austria","AUT",262.629217866199
1991,"Austria","AUT",246.701792369132
1992,"Austria","AUT",228.843637918537
1993,"Austria","AUT",217.387444953988
1994,"Austria","AUT",212.069528640697
1995,"Austria","AUT",226.360991991989
1996,"Austria","AUT",221.747384097881
1997,"Austria","AUT",211.735369453681
1998,"Austria","AUT",213.199114901047
1999,"Austria","AUT",230.543855335795
2000,"Austria","AUT",242.162976904879
2001,"Austria","AUT",258.367074968445
2002,"Austria","AUT",296.190659011135
